0	金	Metal
1	木	Wood
2	土	Earth
3	水	Water
4	火	Fire
5	一星	1★
6	二星	2★
7	三星	3★
8	四星	4★
9	五星	5★
10	星	★
11	未知	Unknown
12	全部	All
13	地址	Address
14	状态	Status
15	名称	Name
16	数量	Amount
17	元素	Element
18	战力	Power
19	奖励基数	Reward base
20	经验	EXP
21	英雄	Hero
22	武器	Weapon
23	碎片	Shards
24	精粹	Essence
25	物品	Item
26	简单	Easy
27	普通	Normal
28	困难	Hard
29	噩梦	Nightmare
30	克制	Counter
31	被克制	Countered
32	中性	Neutral
33	未知属性	Unknown trait
34	未知操作	Unknown op
35	未检测到钱包插件	No wallet extension detected
36	请确认钱包已切换到 BSC 测试网	Switch wallet to BSC testnet
37	链 ID 与当前网络不一致	Chain ID mismatch
38	钱包已连接：	Wallet connected: 
39	连接钱包	Connect Wallet
40	请先连接钱包	Connect wallet first
41	随机数预言机配置加载失败，使用默认值	Oracle config load failed, using defaults
42	BSC 测试网	BSC Testnet
43	钱包链已切换，请重新连接	Chain switched, please reconnect
44	账户已断开	Account disconnected
45	账户已切换：	Account switched: 
46	账户切换失败，请手动连接	Account switch failed, connect manually
47	用户取消交易	User cancelled
48	⏳ 太早了：还需等待若干区块	Too early: wait for blocks
49	⌛ 太晚了：commit 已过期	Too late: commit expired
50	🔐 secret/salt 与 commit 不匹配	Secret/salt mismatch
51	✅ 已经揭示过了	Already revealed
52	❌ 不是本人 commit	Not your commit
53	❌ 不是本人的英雄/武器，或 pending 已被清理	Not your hero/weapon, or pending cleaned
54	🚫 英雄数量已达上限(4)	Hero limit reached (4)
55	🔝 该武器强化已达上限	Weapon enhancement maxed
56	🧪 该星级武器不可使用此阶精粹	Essence tier not usable here
57	⏰ 不在 BOSS 攻击窗口期内	Outside boss attack window
58	💀 BOSS 已被击败	Boss defeated
59	⏳ 待处理操作过多，请先揭示或等待清理	Too many pending ops, reveal or wait
60	⏳ BOSS 轮次尚未结束	Boss round not ended
61	✅ 本轮的奖励已结算过了	Round rewards settled
62	⚡ 英雄体力不足	Not enough stamina
63	⏳ BOSS 新一轮需等待 7 天冷却	New round needs 7-day cooldown
64	💰 余额或授权不足	Insufficient balance or allowance
65	🔧 ABI 不匹配，请 Ctrl+F5	ABI mismatch, hard refresh
66	Gas 余额不足	Insufficient gas
67	Nonce 冲突，请刷新	Nonce conflict, refresh
68	处理中…	Processing…
69	交易处理中…	Transaction processing…
70	JS错误	JS Error
71	Promise 错误	Promise Error
72	正在授权代币…	Approving token…
73	授权成功	Approved
74	英雄 NFT	Hero NFT
75	武器 NFT	Weapon NFT
76	正在授权 NFT…	Approving NFT…
77	✅ 已授权	Approved
78	正在取消授权…	Revoking…
79	已取消授权	Revoked
80	ForgeShop（锻造厂）	ForgeShop
81	EnhanceShop（强化铺）	EnhanceShop
82	未配置 	Not configured 
83	英雄数量已达上限(4)	Hero limit reached (4)
84	代币余额不足	Insufficient token balance
85	刷新	Refresh
86	怪物	Monster
87	请先选择英雄	Pick a hero first
88	请先选择武器	Pick a weapon first
89	请选择怪物	Pick a monster
90	预览失败	Preview failed
91	请选择英雄与怪物	Pick hero and monster
92	请先持有一把武器	Hold at least one weapon
93	战斗结算中…	Battle settling…
94	战斗已上链，等待确认…	Battle on-chain, waiting…
95	战斗完成	Battle complete
96	🗡️ 飞剑	Sword
97	冲击	Impact
98	🌪️ 旋风斩	Whirlwind
99	✨ 星光弹	Star bolt
100	👹 魔焰	Hellfire
101	🦷 尖牙撕咬	Fang bite
102	💀 骨刺	Bone spike
103	🌋 熔岩弹	Lava bolt
104	🎉 胜利！	Victory!
105	💀 战败…	Defeat…
106	继续冒险	Continue
107	再战一次	Fight again
108	世界BOSS	World Boss
109	✅ 已讨伐	Defeated
110	⚔ 讨伐中	In battle
111	本轮已讨伐	Defeated this round
112	发起攻击	Attack
113	👤 我	Me
114	需要英雄和武器	Need hero and weapon
115	正在授权 USDT 保证金…	Approving USDT collateral…
116	USDT 授权成功	USDT approved
117	请先刷新	Refresh first
118	结算中…	Settling…
119	结算成功	Settled
120	开轮 / 奖池 / 攻击待处理配置	Round / pool / pending attack config
121	BOSS 轮次	Boss Round
122	当前轮次	Current Round
123	BOSS 血量	Boss HP
124	进度	Progress
125	奖池	Prize Pool
126	总伤害	Total Damage
127	武器得主	Weapon Winner
128	本轮我的可领	My claim this round
129	开启新一轮	Start New Round
130	注入奖池	Top up pool
131	确认开启新一轮世界BOSS？	Start a new World Boss round?
132	开启新一轮 BOSS	Start New Boss Round
133	BOSS 血量 HP（1000~10000000）	Boss HP (1000~10000000)
134	开启 BOSS 轮次	Start Boss Round
135	注入 BOSS 奖池	Top up Boss Pool
136	注入数量	Amount
137	如 5000	e.g. 5000
138	清理过期攻击	Clean Expired Attacks
139	设置 BOSS 关联合约	Set Boss Linked Contracts
140	RandomOracle 地址	RandomOracle Address
141	Vault 地址	Vault Address
142	PriceOracle 地址	PriceOracle Address
143	设置 BOSS 关联	Set Boss Links
144	攻击待处理配置	Pending Attack Config
145	过期块数	Expiry Blocks
146	每人上限	Max Per Player
147	修改过期块数	Edit Expiry Blocks
148	修改每人上限	Edit Max Per Player
149	奖池管理	Pool Management
150	清理全部过期攻击	Clean All Expired Attacks
151	英雄召唤成功	Hero summoned
152	合成完成	Composed
153	合成成功	Composed
154	请先勾选武器	Select weapons first
155	熔炼中…	Smelting…
156	熔炼完成	Smelted
157	合成中…	Composing…
158	锻造	Forge
159	锻造厂	Forge Shop
160	强化铺	Enhance Shop
161	召唤英雄	Summon Hero
162	锻造武器	Forge Weapon
163	10连锻造	Forge x10
164	100连锻造	Forge x100
165	购买成功！	Purchased!
166	请填写完整	Fill in all fields
167	请先授权	Approve first
168	上架中…	Listing…
169	上架成功！	Listed!
170	在售	On sale
171	已售	Sold
172	已取消	Cancelled
173	市场	Market
174	手续费 / 挂单过期 / 关联设置	Fees / expiry / links
175	市场状态	Market Status
176	手续费率	Fee Rate
177	挂单过期时间	Order Expiry
178	挂单总数	Total Orders
179	在售挂单	Active Orders
180	分成金库	Fee Vault
181	设置手续费	Set Fee
182	设置挂单过期	Set Expiry
183	关联设置	Link Settings
184	设置金库	Set Vault
185	设置 NFT 合约	Set NFT Contracts
186	设置市场手续费	Set Market Fee
187	手续费基点（0~1000，100=1%）	Fee basis points (0~1000, 100=1%)
188	设置挂单过期时间	Set Order Expiry
189	过期天数（默认 7）	Expiry days (default 7)
190	设置市场 NFT 合约	Set Market NFT Contracts
191	Characters 地址	Characters Address
192	Weapons 地址	Weapons Address
193	Shards 地址	Shards Address
194	Essence 地址	Essence Address
195	USDT 模式	USDT mode
196	领取中…	Claiming…
197	领取成功	Claimed
198	胜	W
199	负	L
200	金库	Vault
201	资金托管 / 奖励模式 / 授权游戏 / 存入	Custody / reward mode / games / deposit
202	金库状态	Vault Status
203	奖励代币	Reward Token
204	奖励模式	Reward Mode
205	USDT 地址	USDT Address
206	清理间隔	Cleanup Interval
207	金库余额	Vault Balance
208	待发放总额(EH)	Pending (EH)
209	待发放总额(USDT)	Pending (USDT)
210	累计发放(EH)	Paid (EH)
211	累计发放(USDT)	Paid (USDT)
212	授权游戏数	Authorized Games
213	我的待领取	My Claimable
214	设置奖励代币	Set Reward Token
215	切换奖励模式	Switch Reward Mode
216	紧急切换模式	Emergency Switch
217	设置清理间隔	Set Cleanup Interval
218	授权游戏（负责发放奖励）	Authorize Game (pays rewards)
219	添加/移除授权	Add/Remove Authorization
220	存入资金	Deposit Funds
221	存入 EH	Deposit EH
222	存入 USDT	Deposit USDT
223	应急管理	Emergency
224	清理玩家待领取	Clean Player Claims
225	暂停控制	Pause Control
226	设置金库奖励代币（仅一次）	Set Vault Reward Token (once)
