tagline	召唤元素英雄，锻造神器武器，讨伐远古怪物与世界 BOSS —— 每一场战斗都真实发生在链上。	Summon five-element heroes, forge legendary weapons, and hunt ancient monsters and world bosses — every battle truly happens on-chain.
cta-start	开始游戏	Start Playing
cta-learn	了解玩法	How to Play
meta-heroes	5 行英雄	5 Heroes
meta-mons	10 种怪物	10 Monsters
meta-boss	世界 BOSS 轮次	World Boss Rounds
meta-elem	斩获 USDT 奖励	Earn USDT Rewards
scroll	向下滚动	Scroll down
t-gameplay	核心玩法	Core Gameplay
s-gameplay	从召唤第一只英雄开始，踏上链上冒险的完整循环	From summoning your first hero, embark on a full on-chain adventure loop
p1-t	召唤英雄	Summon Heroes
p1-d	消耗代币召唤元素英雄，金木土水火五种元素各有命途。每位英雄拥有等级、经验、战力与体力，体力随时间自动恢复。	Spend tokens to summon five-element heroes. Each hero has level, EXP, power and stamina; stamina regenerates over time.
p2-t	锻造武器	Forge Weapons
p2-d	在锻造厂消耗材料锻造武器，武器带 1~5 星品质与五行属性，星级越高强化加成越强。	Forge weapons with materials. Each weapon has 1-5 star rarity and an element; higher stars mean stronger bonuses.
p3-t	强化战力	Boost Power
p3-d	用精粹强化武器提升战力加成，经验升级英雄等级，合理搭配元素克制关系打出更高伤害。	Enhance weapons with essence, level up heroes with EXP, and exploit elemental counters for higher damage.
p4-t	挑战怪物	Fight Monsters
p4-d	在战斗页面挑选出战英雄与武器，对战 10 种元素怪物。胜利可获得 USDT 奖励与经验，奖励进入金库待领取。	Pick your hero and weapon, then fight 10 elemental monsters. Victory grants USDT rewards and EXP, stored in your vault.
p5-t	讨伐世界 BOSS	World Boss
p5-d	参与世界 BOSS 轮次，按伤害占比瓜分奖池。排行榜实时更新，击破 BOSS 后结算奖励，人人有份。	Join world boss rounds and share the prize pool by damage dealt. Live rankings refresh; claim rewards after each kill.
p6-t	领取奖励	Claim Rewards
p6-d	战斗奖励存入金库，一键领取到钱包；也可以在市场交易武器与碎片，让战利品流动起来。	Battle rewards go to your vault — claim them in one click, or trade weapons and shards on the market.
el-gold	金	Metal
